name,address,price,score,foods,recomment,pic
商城蓝海大饭店·蓝钻国际美食自...,临西十路与双岭路交叉口北200米,￥80,5.0,自助餐,3,https://dimg04.c-ctrip.com/images/0106a12000cm70bhj7B13_R_220_140.jpg
No.2 CAFE·洋房西餐厅,学士街2号（吉庆桥边）,未知价格,5.0,"西餐, 牛排",2,https://dimg04.c-ctrip.com/images/1mh4812000aq7yenm788F_R_220_140.jpg
一罐甜野,水门路213号,￥41,5.0,"面包店, 饮品, 面包甜点",4,https://dimg04.c-ctrip.com/images/01A5r120008oggpzj7839_R_220_140.jpg
大户·日本料理(富国街店),福顺路福水小区3号楼3单元102室 （二中毛家熟食隔壁、蜜雪冰城隔壁西街内）不用铁门进小区,￥103,5.0,日本料理,3,https://dimg04.c-ctrip.com/images/100h0k000000cfeh5C0EE_R_220_140.jpg
如艾老火锅(马鞍山店),龙门浩街道上新街马鞍山174号,￥93,5.0,"川味/重庆火锅, 重庆火锅, 火锅",86,https://dimg04.c-ctrip.com/images/01A351200099huiooD378_R_220_140.jpg
和记甜品屋,桥东上塘街5号,￥10,5.0,"面包甜点, 面包店, 饮品",2,https://dimg04.c-ctrip.com/images/fd/tg/g2/M03/44/A3/CghzgVU3uZmAZsQzAACeVAinT4Y643_R_220_140.jpg
莆田餐厅PUTIEN(世纪金源店),远大路1号世纪金源西区5层5011号,￥137,5.0,闽菜,3,https://dimg04.c-ctrip.com/images/01069120008vx2jid5521_R_220_140.jpg
原生土味坊(阳光100店),阳光100城市广场10栋2层,￥111,5.0,农家菜,3,https://dimg04.c-ctrip.com/images/0101j12000b8pqd4nAA88_R_220_140.jpg
太二酸菜鱼(通州万达店),新华西街58号万达广场4层,￥105,5.0,"酸菜鱼/水煮鱼, 川菜",2,https://dimg04.c-ctrip.com/images/1me0n12000akmo2mv3C4E_R_220_140.jpg
The Winston Bar(淄博喜来登店),体育场街道共青团东路南一巷25号(曾太美食北侧),￥96,5.0,"酒吧/酒馆, 综合清吧",1,https://dimg04.c-ctrip.com/images/0100z12000dwmwhi214AC_R_220_140.jpg
北京丽思卡尔顿酒店(华贸中心)·...,建国路甲83号（北京丽思卡尔顿酒店(华贸中心)一层西侧）,未知价格,5.0,暂无推荐,9,https://dimg04.c-ctrip.com/images/01A2f120008s4bm557952_R_220_140.jpg
太二酸菜鱼(新世界百货店),崇文门外大街3~5号新世界百货5楼023号商铺,￥107,5.0,"酸菜鱼/水煮鱼, 川菜",3,https://dimg04.c-ctrip.com/images/1me3v12000dehk0pcFFBA_R_220_140.jpg
秋山,大理古城叶榆路111号,￥24,5.0,咖啡店,5,https://dimg04.c-ctrip.com/images/01A4v120009e7f76bCEA2_R_220_140.jpg
泽丰园本帮面·大肠面·牛蛙面(...,尚义路39弄3号238-b室(宝龙广场内2楼),￥25,5.0,"小吃, 面食, 面馆",1,https://dimg04.c-ctrip.com/images/0100x120009dhae33EC19_R_220_140.jpg
禾火·民间菜(五莲路店),五莲路216号（近浦东大道）,￥93,5.0,"其他江浙菜, 苏帮菜, 江浙菜",1,https://dimg04.c-ctrip.com/images/0100t12000cfgsine582D_R_220_140.jpg
关东小磨东北菜(松江印象城店),广富林路1788弄1号松江印象城4楼L407,￥84,5.0,东北菜,1,https://dimg04.c-ctrip.com/images/0106t120009wil3tj3417_R_220_140.jpg
高社长·长白山·炭烤(沿江店),滨江中路商贸旅游区G区46楼101室（交通银行沿江开发区支行对面）,￥118,5.0,烧烤,5,https://dimg04.c-ctrip.com/images/0106n120008r4atjrFF86_R_220_140.jpg
先启半步颠小酒馆(长宁ArtPark大...,淞虹路377号长宁artpark大融城T3栋L1层,￥96,5.0,川菜,3,https://dimg04.c-ctrip.com/images/0103512000byvson1F46C_R_220_140.jpg
希悦烘焙(福春店),锦山大街中心医院对面,￥47,5.0,"面包甜点, 面包店, 饮品",7,https://dimg04.c-ctrip.com/images/fd/tg/g1/M09/AF/6F/CghzfFVTZzCAMhPmAAHsuezx2NU481_R_220_140.jpg
小锄匠寿喜烧(大宁国际店),大宁国际商业广场12幢5楼(大润发楼上)),￥123,5.0,"日本料理, 其他日本料理, 日式火锅",4,https://dimg04.c-ctrip.com/images/0101s12000c79yvsi9799_R_220_140.jpg
麦当劳(金华万达广场店),李渔东路金华万达广场1层,￥19,5.0,快餐简餐,2,https://dimg04.c-ctrip.com/images/100i1e000001ft177ADEB_R_220_140.jpg
山雲良食(大理床单厂艺术区店),云南省大理白族自治州大理市苍坪街56号大理床单厂艺术区西51号,￥83,5.0,创意菜,2,https://dimg04.c-ctrip.com/images/01A2q120008sxwig5A763_R_220_140.jpg
南宋胡记(万融城店),万融城,￥26,5.0,面包甜点,1,https://dimg04.c-ctrip.com/images/01053120009u4b592A89A_R_220_140.jpg
隐仕·Whisky bar,千岛湖镇新安东路442-1,￥99,5.0,"酒吧/酒馆, 综合清吧",1,https://dimg04.c-ctrip.com/images/0106012000dzdslvmE7D0_R_220_140.jpg
外婆妈妈菜(云上草原大竹海店),天荒坪镇022乡道天荒坪五鹤村委旁,￥65,5.0,农家菜,1,https://dimg04.c-ctrip.com/images/0106i120009uhmjg5606E_R_220_140.jpg
老友记(丰产路店),丰产路街道经一路与丰产路交叉口,￥87,5.0,"火锅, 其他火锅, 打边炉",1,https://dimg04.c-ctrip.com/images/100f14000000x6gkwE040_R_220_140.jpg
俄士厨房(合生汇店),广渠路合生汇21街区负1楼154B号,￥110,5.0,"西餐, 俄罗斯菜",2,https://dimg04.c-ctrip.com/images/0103v12000cfjrcm3847C_R_220_140.jpg
